,,,,,,,
,,,,,,,
,,,,,,,
,,FII,,,DII,,
,Date,Gross Purchase,Gross Sales,Net Purchase / Sales,Gross Purchase,Gross Sales,Net Purchase / Sales
,02-Dec-2024,"13,605.12","13,843.40",-238.28,"12,456.43","8,867.77","3,588.66"
,29-Nov-2024,"14,786.35","19,169.90","-4,383.55","15,201.68","9,478.34","5,723.34"
,28-Nov-2024,"10,796.17","22,552.42","-11,756.25","17,685.35","8,967.05","8,718.30"
,27-Nov-2024,"13,027.06","13,019.28",7.78,"10,230.12","8,928.15","1,301.97"
,26-Nov-2024,"10,971.18","9,813.48","1,157.70","8,406.15","10,317.01","-1,910.86"
,25-Nov-2024,"85,251.94","75,304.39","9,947.55","17,624.75","24,532.72","-6,907.97"
,22-Nov-2024,"16,985.36","18,263.73","-1,278.37","12,251.72","10,529.57","1,722.15"
,21-Nov-2024,"16,559.63","21,880.31","-5,320.68","14,555.77","10,355.61","4,200.16"
,19-Nov-2024,"15,255.09","18,666.82","-3,411.73","13,657.81","10,873.92","2,783.89"
,18-Nov-2024,"14,256.29","15,659.69","-1,403.40","11,521.42","9,190.86","2,330.56"
,14-Nov-2024,"13,003.06","14,852.93","-1,849.87","10,200.35","7,718.54","2,481.81"
,13-Nov-2024,"15,178.17","17,680.75","-2,502.58","14,095.16","7,949.92","6,145.24"
,12-Nov-2024,"12,542.73","15,567.04","-3,024.31","10,330.28","8,475.82","1,854.46"
,11-Nov-2024,"9,430.85","11,737.73","-2,306.88","9,848.87","7,822.24","2,026.63"
,08-Nov-2024,"9,336.94","12,740.98","-3,404.04","11,246.96","9,498.52","1,748.44"
,07-Nov-2024,"11,736.07","16,624.84","-4,888.77","11,374.43","9,587.73","1,786.70"
,06-Nov-2024,"11,911.90","16,357.49","-4,445.59","16,061.64","11,172.31","4,889.33"
,05-Nov-2024,"11,851.47","14,420.88","-2,569.41","12,616.72","9,585.76","3,030.96"
,04-Nov-2024,"13,786.39","18,116.18","-4,329.79","12,449.82","9,513.74","2,936.08"
,01-Nov-2024,68.79,280.72,-211.93,50.09,427.42,-377.33
,31-Oct-2024,"16,633.49","22,446.79","-5,813.30","13,000.20","9,485.61","3,514.59"
,30-Oct-2024,"14,908.59","19,522.24","-4,613.65","13,594.06","9,075.78","4,518.28"
,29-Oct-2024,"15,508.50","16,057.19",-548.69,"12,823.77","12,093.64",730.13
,28-Oct-2024,"13,393.30","16,621.38","-3,228.08","12,258.32","10,857.47","1,400.85"
,25-Oct-2024,"14,209.84","17,246.59","-3,036.75","15,203.44","11,044.15","4,159.29"
,24-Oct-2024,"12,537.42","17,599.87","-5,062.45","13,827.85","10,207.38","3,620.47"
,23-Oct-2024,"14,752.71","20,437.34","-5,684.63","16,433.67","10,393.77","6,039.90"
,22-Oct-2024,"15,579.80","19,558.41","-3,978.61","16,865.80","10,996.74","5,869.06"
,21-Oct-2024,"11,982.70","14,244.53","-2,261.83","13,741.13","10,515.22","3,225.91"
,18-Oct-2024,"12,348.95","17,834.65","-5,485.70","13,850.16","8,635.33","5,214.83"
,17-Oct-2024,"9,721.10","17,142.50","-7,421.40","16,817.01","11,837.18","4,979.83"
,16-Oct-2024,"14,465.64","17,901.58","-3,435.94","13,432.45","11,176.16","2,256.29"
,15-Oct-2024,"16,097.89","17,846.60","-1,748.71","13,229.43","11,574.47","1,654.96"
,14-Oct-2024,"9,364.16","13,095.75","-3,731.59","11,597.52","9,319.43","2,278.09"
,11-Oct-2024,"6,219.76","10,382.42","-4,162.66","11,906.51","8,175.64","3,730.87"
,10-Oct-2024,"16,514.30","21,440.91","-4,926.61","13,301.19","9,422.86","3,878.33"
,09-Oct-2024,"11,726.26","16,288.97","-4,562.71","14,841.81","11,333.20","3,508.61"
,08-Oct-2024,"14,774.19","20,503.79","-5,729.60","19,494.71","12,494.03","7,000.68"
,07-Oct-2024,"14,057.25","22,350.66","-8,293.41","23,924.07","10,678.95","13,245.12"
,04-Oct-2024,"14,524.79","24,421.74","-9,896.95","20,286.53","11,381.45","8,905.08"
,03-Oct-2024,"17,311.91","32,555.18","-15,243.27","25,294.47","12,380.51","12,913.96"
,01-Oct-2024,"12,627.79","18,207.14","-5,579.35","14,435.20","9,825.65","4,609.55"
,30-Sep-2024,"16,620.77","26,412.70","-9,791.93","17,880.53","11,234.73","6,645.80"
,27-Sep-2024,"26,135.90","27,345.00","-1,209.10","50,042.69","43,156.04","6,886.65"
,26-Sep-2024,"26,421.21","25,791.25",629.96,"15,461.30","13,056.18","2,405.12"
,25-Sep-2024,"15,086.88","16,060.82",-973.94,"12,899.34","11,120.35","1,778.99"
,24-Sep-2024,"20,111.37","22,895.51","-2,784.14","15,939.51","12,071.20","3,868.31"
,23-Sep-2024,"12,094.89","11,690.47",404.42,"11,666.36","10,643.72","1,022.64"
,20-Sep-2024,"59,452.33","45,388.28","14,064.05","16,987.42","21,414.50","-4,427.08"
,19-Sep-2024,"17,852.32","20,399.85","-2,547.53","16,234.69","14,221.83","2,012.86"
,18-Sep-2024,"11,654.00","10,500.31","1,153.69","11,794.51","11,642.20",152.31
,17-Sep-2024,"13,095.19","12,612.50",482.69,"10,959.98","10,085.83",874.15
,16-Sep-2024,"8,617.10","10,252.08","-1,634.98","10,025.07","9,270.98",754.09
,13-Sep-2024,"15,982.99","13,618.17","2,364.82","11,156.43","8,624.25","2,532.18"
,12-Sep-2024,"23,301.02","15,606.02","7,695.00","13,690.60","15,491.14","-1,800.54"
,11-Sep-2024,"15,414.60","13,659.60","1,755.00","11,401.90","11,171.00",230.9
,10-Sep-2024,"16,771.58","14,563.35","2,208.23","12,153.63","12,429.00",-275.37
,09-Sep-2024,"8,617.10","10,252.08","-1,634.98","10,025.07","9,270.98",754.09
,06-Sep-2024,"16,911.35","17,532.30",-620.95,"15,699.20","13,577.67","2,121.53"
,05-Sep-2024,"17,446.87","18,135.56",-688.69,"14,803.18","11,832.44","2,970.74"
,04-Sep-2024,"16,585.13","15,609.67",975.46,"13,583.92","13,486.57",97.35
,03-Sep-2024,"19,444.04","18,414.79","1,029.25","11,867.28","9,971.07","1,896.21"
,02-Sep-2024,"13,772.63","12,037.17","1,735.46","12,538.52","12,182.15",356.37
